Surname,Name
Ca~nas,Rodrigo
Poulton,Rhys J.~J.
Tobar,Rodrigo J.
Willis,James S.
Lagos,Claudia del P.
Robotham,Aaron S.~G.
Canas,Rodrigo
Jacobs,C.
Collett,T.
Glazebrook,K.
McCarthy,C.
Qin,A.~K.
Qin,Yuxiang
Abbott,T.~M.~C.
Abdalla,F.~B.
Annis,J.
Avila,S.
Bechtol,K.
Buckley-Geer,E.
Diehl,H.~T.
Lin,H.
Odden,C.
Caso Escudero,M.
Xiangyu Guo, 
Qi Chu, 
Shin Kee Chung, 
Zhihui Du, 
Linqing Wen, 
Yanqi Gu, 
Suvorova,Sofia
Melatos,Andrew
Lonnborn,J.~R.
Haskell,B.
Sun,Ling
Strang,L C
Marshall,Madeline A.
Marshall,J.~L.
Wyithe,J. Stuart B.
Wyithe,S.
Mesinger,Andrei
Geil,Paul M.
de Vita,Ruggero
Trenti,Michele
MacLeod,Morgan
Sahu,N.
Graham,A.~W.
Graham,Matthew
Davis,B.~L.
Davis,T.~M.
Davis,C.
Cameron,E.
Forbes,Duncan A.
Gannon,Jonah
Couch,Warrick J.
Iodice,Enrichetta
Spavone,Marilena
Cantiello,Michele
Napolitano,Nicola
Schipani,Pietro
Robert,P.~F.
Murphy,M.~T.
OMeara,J.~M.
Crighton,N.~H.~M.
Fumagalli,M.
Ubachs,W.
Salumbides,E.~J.
Abgrall,H.
Roueff,E.
Kacprzak,G.~G.
Kacprzak,T.
Savorgnan,G.~A.~D.
Carswell,R.~F.
Prochaska,J.~X.
Worseck,G.
Nielsen,N.~M.
Pointon,S.~K.
Churchill,C.~W.
Hartoyo,Agus
Cadusch,Peter J.
Liley,David T.~J.
Hicks,Damien G.
Mould,J.
Clementini,Gisella
Da Costa,Gary
Brown,P.~J.
Hosseinzadeh,G.
Jha,S.~W.
Sand,D.
Vieira,E.
Dai,M.
Dettman,K.~G.
Uddin,S.
Arcavi,I.
Bento,J.
Burns,C.~R.
Diamond,T.
Hiramatsu,D.
Howell,D.~A.
Hsiao,E.~Y.
Marion,G.~H.
McCully,C.
Milne,P.~A.
Mirzaqulov,D.
Ruiter,A.~J.
Valenti,S.
Xiang,D.
Zhang,H.
Zhang,Y.
Zhang,B.~R.
Zhang,X.~B.
Zhang,Keming
Yu,Z.
Yu,C.
Liang,E.
Yang,M.
Yang,S.-H.
Yang,Y.
Yang,G.~C.
Ashley,M.~C.~B.
Cui,X.
Du,F.
Fu,J.
Gong,X.
Gu,B.
Hu,Y.
Hu,L.
Hu,Hui
Lawrence,J.
Li,X.
Li,Z.
Li,T.~S.
Li,R.~T.
Li,G.
Ma,B.
Shang,Z.
Suntzeff,N.~B.
Tao,C.
Tao,Duo
Tian,Q.
Tinney,C.~G.
Wei,P.
Wright,D.
Wright,A.~H.
Wu,X.
Wu,H.
Wittenmyer,R.~A.
Xu,L.
Xu,J.
Yuan,X.
Yuan,F.
Zhou,H.
Zhou,J.-L.
Tucker,B.
Tucker,D.~L.
Zic,A.
Antonello,M.
Barberio,E.
Baroncelli,T.
Benziger,J.
Bignell,L.~J.
Bolognino,I.
Calaprice,F.
Copello,S.
DAngelo,D.
DImperio,G.
Dafinei,I.
di Carlo,G.
Diemoz,M.
di Ludovico,A.
Froborg,F.
Giovanetti,G.~K.
Hoppe,E.
Ianni,A.
Ioannucci,L.
Krishnan,S.
Lane,G.~J.
Mahmood,I.
Mariani,A.
McGee,P.
Montini,P.
Nuti,F.
Orlandi,D.
Paris,M.
Pettinacci,V.
Pietrofaccia,L.
Prokopovich,D.
Rahatlou,S.
Rossi,N.
Sarbutt,A.
Shields,E.
Souza,M.~J.
Stuchbery,A.~E.
Suerfu,B.
Tomei,C.
Urquijo,P.
Vignoli,C.
Wada,M.
Wallner,A.
Williams,A.~G.
Zurowski,M.
Sabre Collaboration,
Hui Zhang, 
Zhouyi Yu, 
Ensi Liang, 
Ming Yang, 
Michael C. B. Ashley, 
Xiangqun Cui, 
Fujia Du, 
Jianning Fu, 
Xuefei Gong, 
Bozhong Gu, 
Yi Hu, 
Peng Jiang, 
Huigen Liu, 
Jon Lawrence, 
Qiang Liu, 
Xiaoyan Li, 
Zhengyang Li, 
Bin Ma, 
Jeremy Mould, 
Zhaohui Shang, 
Nicholas B. Suntzeff, 
Charling Tao, 
Qiguo Tian, 
C. G. Tinney, 
Syed A. Uddin, 
Lifan Wang, 
Songhu Wang, 
Xiaofeng Wang, 
Peng Wei, 
Duncan Wright, 
Xuefeng Wu, 
Robert A. Wittenmyer, 
Lingzhe Xu, 
Shi-hai Yang, 
Ce Yu, 
Xiangyan Yuan, 
Jessica Zheng, 
Hongyan Zhou, 
Ji-lin Zhou, 
Zhenxi Zhu, 
Durre,M.
Brinks,E.
Khanna,R.
Allam,S.
Amara,A.
Asorey,J.
Ballester,O.
Banerji,M.
Barkhouse,W.
Baruah,L.
Baumer,M.
Becker,M.~R.
Benoit-Levy,A.
Bernstein,G.~M.
Bertin,E.
Blazek,J.
Bocquet,S.
Brooks,D.
Brout,D.
Burke,D.~L.
Busti,V.
Campisano,R.
Cardiel-Sas,L.
Carnero Rosell,A.
Carrasco Kind,M.
Cawthon,R.
Chang,C.
Chen,X.
Conselice,C.
Costa,G.
Crocce,M.
Cunha,C.~E.
DAndrea,C.~B.
da Costa,L.~N.
Das,R.
Daues,G.
De Vicente,J.
DePoy,D.~L.
DeRose,J.
Desai,S.
Dietrich,J.~P.
Dodelson,S.
Doel,P.
Drlica-Wagner,A.
Eifler,T.~F.
Elliott,A.~E.
Evrard,A.~E.
Farahi,A.
Fausti Neto,A.
Fernandez,E.
Finley,D.~A.
Flaugher,B.
Foley,R.~J.
Fosalba,P.
Friedel,D.~N.
Frieman,J.
Garcia-Bellido,J.
Gaztanaga,E.
Gerdes,D.~W.
Giannantonio,T.
Gill,M.~S.~S.
Goldstein,D.~A.
Gower,M.
Gruen,D.
Gruendl,R.~A.
Gschwend,J.
Gupta,R.~R.
Gutierrez,G.
Hamilton,S.
Hinton,S.~R.
Hislop,J.~M.
Hollowood,D.
Honscheid,K.
Hoyle,B.
Huterer,D.
Jain,B.
James,D.~J.
Jeltema,T.
Johnson,M.~W.~G.
Johnson,H.~L.
Kent,S.
Khullar,G.
Klein,M.
Kovacs,A.
Kovacs,E.
Koziol,A.~M.~G.
Krause,E.
Kremin,A.
Kron,R.
Kuehn,K.
Kuhlmann,S.
Kuropatkin,N.
Lahav,O.
Lasker,J.
Liddle,A.~R.
Lima,M.
Lopez-Reyes,P.
MacCrann,N.
Maia,M.~A.~G.
Maloney,J.~D.
Manera,M.
March,M.
Marriner,J.
Martini,P.
McClintock,T.
McKay,T.
McMahon,R.~G.
Melchior,P.
Menanteau,F.
Miller,C.~J.
Miquel,R.
Mohr,J.~J.
Morganson,E.
Neilsen,E.
Nichol,R.~C.
Nogueira,F.
Nord,B.
Nugent,P.
Nunes,L.
Ogando,R.~L.~C.
Old,L.
Pace,A.~B.
Palmese,A.
Paz-Chinchon,F.
Peiris,H.~V.
Percival,W.~J.
Petravick,D.
Plazas,A.~A.
Poh,J.
Pond,C.
Porredon,A.
Pujol,A.
Refregier,A.
Reil,K.
Ricker,P.~M.
Rollins,R.~P.
Romer,A.~K.
Roodman,A.
Rooney,P.
Ross,A.~J.
Rykoff,E.~S.
Sako,M.
Sanchez,M.~L.
Sanchez,E.
Sanchez,S.~F.
Santiago,B.
Saro,A.
Scarpine,V.
Scolnic,D.
Serrano,S.
Sevilla-Noarbe,I.
Sheldon,E.
Shipp,N.
Silveira,M.~L.
Soares-Santos,M.
Sobreira,F.
Song,J.
Stebbins,A.
Suchyta,E.
Sullivan,M.
Swanson,M.~E.~C.
Tarle,G.
Thaler,J.
Troxel,M.~A.
Vikram,V.
Vivas,A.~K.
Walker,A.~R.
Wechsler,R.~H.
Weller,J.
Wester,W.
Wolf,R.~C.
Yanny,B.
Zenteno,A.
Zuntz,J.
DES Collaboration, 
Juneau,S.
Fitzpatrick,M.
Nikutta,R.
Nidever,D.
Olsen,K.
Olsen,Seth
Scott,A.
Scott,Nicholas
NOAO Data Lab,
Cooke,J.
Katsianis,A.
Tescari,E.
Curtin,C.
Joudaki,S.
Lidman,C.
Ruhlmann-Kleider,V.
Davies,L.~J.~M.
Driver,S.~P.
Hashemizadeh,A.
Kushan,S.~l.
Mannering,E.
Panther,F.
Sharp,R.
Sommer,N.~E.
Mudd,D.
Swann,E.~S.
Wiseman,P.
King,A.
Calcino,J.
Bolejko,K.
Papadopoulos,A.
Paech,K.
Schubnell,M.
Moller,A.
Lewis,G.~F.
Muthukrishna,D.
Kessler,R.
Gladney,L.
Krisciunas,K.
Macaulay,E.
Maartens,R.
Childress,M.
Prajs,S.
Spinka,H.
Ahn,E.
Aldering,G.
Kim,A.~G.
Barbary,K.
Bloom,J.~S.
Perlmutter,S.
Pan,Y.-C.
Casas,R.
Zong,W.
Cang,T.~Q.
Morrell,N.
Hosseini,Negar
Griffith,Martin D.
Leontini,Justin S.
Jacono,David Lo
Sheridan,John
Jisheng Zhao, 
Justin Leontini, 
David Lo Jacono, 
John Sheridan, 
M.K. Hasan, 
R. Manasseh, 
J.S. Leontini, 
M.D. Griffith, 
D. Lo Jacono, 
J. Sheridan, 
Lo Jacono,David
Bourguet,Remi
Thompson,Mark C.
Bollen,Dylan
Van Winckel,Hans
Kamath,Devika
Manick,Rajeev
Jorissen,Alain
Sekaran,Sanjay
Bowman,Dominic M.
Oomen,Glenn-Michael
Kluska,Jacques
Waelkens,Christoffel
Prasad,Krishnamurthy
Nikzad,Mostafa
Doherty,Cara M
Sbarski,Igor
Batten,Adam
Ellert van der Velden, 
Alan R. Duffy, 
Darren Croton, 
Simon J. Mutch, 
Manodeep Sinha, 
Blake,Chris
Achitouv,Ixandra
Burden,Angela
Rasera,Yann
Carter,Paul
Beutler,Florian
Koda,Jun
Hildebrandt,H.
Kohlinger,F.
van den Busch,J.~L.
Joachimi,B.
Heymans,C.
Kannawadi,A.
Asgari,M.
Hoekstra,H.
Amon,A.
Leonard,C.~D.
Bilicki,M.
Choi,A.
Erben,T.
Harnois-Deraps,J.
Conrad Perry, 
Marco Zorzi, 
Johannes C. Ziegler, 
Wei-Hung Hsu, 
Frances Camille P. Masim, 
Armandas Balcytis, 
Hsin-Hui Huang, 
Tetsu Yonezawa, 
Aleksandr A. Kuchmizhak, 
Saulius Juodkazis, 
Koji Hatanaka, 
Zhishun Wei, 
Marcin Janczarek, 
Maya Endo, 
Kunlei Wang, 
Akio Nitta, 
Maria G. Méndez-Medrano, 
Christophe Colbeau-Justin, 
Bunsho Ohtani, 
Ewa Kowalska, 
Yoshiaki Nishijima, 
Armandas Balvcytis, 
Shin Naganuma, 
Gediminas Seniutinas, 
Cortese,L.
van de Sande,J.
Catinella,B.
Croom,S.~M.
Brough,S.
Bryant,J.~J.
Owers,M.~S.
Richards,S.~N.
Sweet,S.~M.
Bl, 
-Hawthorn,J.
Barrera-Ballesteros,J.~K.
Lopez-Coba,C.
Goodwin,M.
Lopez-Sanchez,A.~R.
Walcher,C.~J.
Welker,Charlotte
Bland-Hawthorn,Joss
Schulze,Felix
Remus,Rhea-Silvia
Bahe,Yannick
Dubois,Yohan
Konstantopoulos,Iraklis S.
Medling,Anne M.
Pichon,Christophe
Schaefer,A.~L.
Allen,J.~T.
Bekki,K.
Federrath,C.
Fogarty,L.~M.~R.
Green,A.~W.
Groves,B.
Hopkins,A.~M.
McElroy,R.~E.
Pracy,M.~B.
Tonini,C.
Hudson,Michael J.
Oman,Kyle A.
Lorente,Nuria P.~F.
McDermid,Richard M.
Taranu,Dan S.
Taylor,E.~N.
Tiley,A.~L.
Bureau,M.
Harrison,C.~M.
Stott,J.~P.
Swinbank,A.~M.
Smail,I.
Sobral,D.
Bunker,A.~J.
Bower,R.~G.
Obreschkow,D.
Jarvis,M.~J.
Magdis,G.
Turner,O.~J.
Sharples,R.~M.
Poetrodjojo,Henry
DEugenio,Francesco
Barat,Dilyar
Barone,Tania M.
Foster,Caroline
Oh,Sree
Colless,Matthew
Drinkwater,Michael J.
Gunawardhana,Madusha L.~P.
Harisch, 
ra,Lloyd
Jin,Yifei
OToole,Simon
Sealey,Katrina
Varidel,Mathew
Kewley,Lisa J.
Zafar,Tayyaba
Moriya,Takashi J.
Tanaka,Masaomi
Morokuma,Tomoki
Quimby,Robert M.
Kawana,Kojiro
Maeda,Keiichi
Nomoto,Kentextquoterightichi
Suzuki,Nao
Takahashi,Ichiro
Tominaga,Nozomu
Yamaguchi,Masaki
Yasuda,Naoki
Galbany,Lluis
Gonzalez-Gaitan,Santiago
Pignata,Giuliano
Pritchard,Tyler
Baade,D.
Baron,E.
Bromm,V.
Fan,X.
Fruchter,A.
Gal-Yam,A.
Heger,A.
Hoflich,P.
Kashlinsky,A.
Mather,J.
Mazzali,P.
Pacucci,F.
Patat,F.
Pian,E.
Rest,A.
Rubin,D.
S, 
,D.
Stubbs,C.
Whalen,D.
Wheeler,J.~C.
Yue,B.
Andreoni,Igor
Anand,Shreya
Coughlin,Michael W.
Singer,Leo P.
Ahumada,Tomas
Medford,Michael
Kool,Erik C.
Webb,Sara
Bulla,Mattia
Kasliwal,Mansi M.
Bagdasaryan,Ashot
Barnes,Jennifer
Cook,David O.
Duev,Dmitry A.
Fremling,U. Christoffer
Gatkine,Pradip
Golkhou,V. Zach
Kong,Albert K.~H.
Mahabal,Ashish
Martinez-Palomera,Jorge
De,Kishalay
Ofek,Eran O.
Yan,Lin
Bernard,Stephanie R.
Komiyama,Yutaka
Lupton,Robert H.
Caleb,M.
van Straten,W.
Keane,E.~F.
Jameson,A.
Bailes,M.
Barr,E.~D.
Flynn,C.
Ilie,C.~D.
Petroff,E.
Rogers,A.
Stappers,B.~W.
Venkatraman Krishnan,V.
Weltevrede,P.
Vernardos,Georgios
Tsagkatakis,Grigorios
Sadus,Richard J.
Deiters,Ulrich K.
Losey,James
Kannam,Sridhar K.
Todd,B. D.
Arooj,Q.
Chiarinelli,J.
Casavola,A.~R.
Castrovilli,M.~C.
Bolognesi,P.
Cartoni,A.
Richter,R.
Catone,D.
Tosic,S.
Marinkovic,B.~P.
Avaldi,L.
Frederick Backler, 
Gregory J. Wilson, 
Feng Wang, 
Islam,Shawkat
Ganesan,Aravindhan
Auchettl,Rebecca
Plekan,Oksana
Acres,Robert G.
Prince,Kevin C.
Domaracka,Alicja
Rousseau,Patrick
Chatterjee,Subhojyoti
Ikabata,Yasuhiro
Aiba,Risa
Iwanade,Toru
Nishizawa,Hiroaki
Nakai,Hiromi
Khattab,Muhammad
Clayton,Andrew H. A.
Blanch,Ewan W.
Amarantidis,Stergios
Afonso,Jose
Messias,Hugo
Griffin,Andrew
Lacey,Cedric
Volonteri,Marta
Matute,Israel
Pappalardo,Ciro
Chary,Ranga-Ram
Norris,Ray P.
Agnew,Matthew T.
Maddison,Sarah T.
Horner,Jonathan
Kane,Stephen R.
Birchall,Eloise K.
Ireland,Michael J.
Monnier,John D.
Kraus,Stefan
Kraus,Adam L.
Willson,Matthew
Rizzuto,Aaron
